Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seqwithdenselayer_nmw_ERNN,36,Adam,NN5,y,S2SD_ERNN
stacking_GRU,5,Adam,NN5,y,Stacked_GRU
stacking_LSTM,1,Adam,NN5,y,Stacked_LSTM
stacking_ERNN,9,Adam,NN5,y,Stacked_ERNN
seq2seq_GRU,22,Cocob,NN5,y,S2S_GRU
seq2seq_LSTM,15,Cocob,NN5,y,S2S_LSTM
seq2seq_ERNN,33,Cocob,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,29,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,11,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,13,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,30,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,17,Cocob,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,18,Cocob,NN5,y,S2SD_ERNN
stacking_GRU,7,Cocob,NN5,y,Stacked_GRU
stacking_LSTM,2,Cocob,NN5,y,Stacked_LSTM
stacking_ERNN,8,Cocob,NN5,y,Stacked_ERNN
seq2seq_GRU,17,Adagrad,Tourism,y,S2S_GRU
seq2seq_LSTM,29,Adagrad,Tourism,y,S2S_LSTM
seq2seq_ERNN,23,Adagrad,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,4,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,30,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,18,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,12,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,6,Adagrad,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,38,Adagrad,Tourism,y,S2SD_ERNN
stacking_GRU,31,Adagrad,Tourism,y,Stacked_GRU
stacking_LSTM,19,Adagrad,Tourism,y,Stacked_LSTM
stacking_ERNN,27,Adagrad,Tourism,y,Stacked_ERNN
seq2seq_GRU,22,Adam,Tourism,y,S2S_GRU
seq2seq_LSTM,11,Adam,Tourism,y,S2S_LSTM
seq2seq_ERNN,24,Adam,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,2,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,25,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,20,Adam,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Adam,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,9,Adam,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,15,Adam,Tourism,y,S2SD_ERNN
stacking_GRU,35,Adam,Tourism,y,Stacked_GRU
stacking_LSTM,37,Adam,Tourism,y,Stacked_LSTM
stacking_ERNN,36,Adam,Tourism,y,Stacked_ERNN
seq2seq_GRU,14,Cocob,Tourism,y,S2S_GRU
seq2seq_LSTM,21,Cocob,Tourism,y,S2S_LSTM
seq2seq_ERNN,32,Cocob,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,5,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,26,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,7,Cocob,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,16,Cocob,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,3,Cocob,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,8,Cocob,Tourism,y,S2SD_ERNN
stacking_GRU,34,Cocob,Tourism,y,Stacked_GRU
stacking_LSTM,28,Cocob,Tourism,y,Stacked_LSTM
stacking_ERNN,33,Cocob,Tourism,y,Stacked_ERNN
seq2seq_GRU,12,Adagrad,M4,y,S2S_GRU
seq2seq_LSTM,32,Adagrad,M4,y,S2S_LSTM
seq2seq_ERNN,38,Adagrad,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,3,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,11,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,4,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,9,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,5,Adagrad,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,26,Adagrad,M4,y,S2SD_ERNN
stacking_GRU,18,Adagrad,M4,y,Stacked_GRU
stacking_LSTM,15,Adagrad,M4,y,Stacked_LSTM
stacking_ERNN,27,Adagrad,M4,y,Stacked_ERNN
seq2seq_GRU,37,Adam,M4,y,S2S_GRU
seq2seq_LSTM,36,Adam,M4,y,S2S_LSTM
seq2seq_ERNN,33,Adam,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,8,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,34,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,7,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,10,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,21,Adam,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,31,Adam,M4,y,S2SD_ERNN
stacking_GRU,19,Adam,M4,y,Stacked_GRU
stacking_LSTM,22,Adam,M4,y,Stacked_LSTM
stacking_ERNN,35,Adam,M4,y,Stacked_ERNN
seq2seq_GRU,20,Cocob,M4,y,S2S_GRU
seq2seq_LSTM,29,Cocob,M4,y,S2S_LSTM
seq2seq_ERNN,30,Cocob,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,13,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,16,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,6,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,14,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,24,Cocob,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,17,Cocob,M4,y,S2SD_ERNN
stacking_GRU,23,Cocob,M4,y,Stacked_GRU
stacking_LSTM,28,Cocob,M4,y,Stacked_LSTM
stacking_ERNN,25,Cocob,M4,y,Stacked_ERNN
