Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seqwithdenselayer_mw_ERNN,7,Adam,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,9,Adam,Tourism,y,S2SD_ERNN
stacking_GRU,34,Adam,Tourism,y,Stacked_GRU
stacking_LSTM,36,Adam,Tourism,y,Stacked_LSTM
stacking_ERNN,35,Adam,Tourism,y,Stacked_ERNN
seq2seq_GRU,14,Cocob,Tourism,y,S2S_GRU
seq2seq_LSTM,21,Cocob,Tourism,y,S2S_LSTM
seq2seq_ERNN,24,Cocob,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,4,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,25,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,8,Cocob,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,17,Cocob,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,2,Cocob,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,6,Cocob,Tourism,y,S2SD_ERNN
stacking_GRU,33,Cocob,Tourism,y,Stacked_GRU
stacking_LSTM,28,Cocob,Tourism,y,Stacked_LSTM
stacking_ERNN,32,Cocob,Tourism,y,Stacked_ERNN
seq2seq_GRU,10,Adagrad,M4,y,S2S_GRU
seq2seq_LSTM,34,Adagrad,M4,y,S2S_LSTM
seq2seq_ERNN,35,Adagrad,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,1,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,11,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,2,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,8,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,3,Adagrad,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,15,Adagrad,M4,y,S2SD_ERNN
stacking_GRU,19,Adagrad,M4,y,Stacked_GRU
stacking_LSTM,14,Adagrad,M4,y,Stacked_LSTM
stacking_ERNN,28,Adagrad,M4,y,Stacked_ERNN
seq2seq_GRU,36,Adam,M4,y,S2S_GRU
seq2seq_LSTM,32,Adam,M4,y,S2S_LSTM
seq2seq_ERNN,22,Adam,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,6,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,30,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,5,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,7,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,12,Adam,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,33,Adam,M4,y,S2SD_ERNN
stacking_GRU,20,Adam,M4,y,Stacked_GRU
stacking_LSTM,18,Adam,M4,y,Stacked_LSTM
stacking_ERNN,26,Adam,M4,y,Stacked_ERNN
seq2seq_GRU,21,Cocob,M4,y,S2S_GRU
seq2seq_LSTM,31,Cocob,M4,y,S2S_LSTM
seq2seq_ERNN,29,Cocob,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,9,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,17,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,4,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,23,Cocob,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,16,Cocob,M4,y,S2SD_ERNN
stacking_GRU,24,Cocob,M4,y,Stacked_GRU
stacking_LSTM,25,Cocob,M4,y,Stacked_LSTM
stacking_ERNN,27,Cocob,M4,y,Stacked_ERNN
