Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seq_ERNN,18,Cocob,NN5,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,22,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,12,Cocob,NN5,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,10,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,21,Cocob,NN5,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,16,Cocob,NN5,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,19,Cocob,NN5,y,S2SD_ERNN
stacking_GRU,6,Cocob,NN5,y,Stacked_GRU
stacking_LSTM,2,Cocob,NN5,y,Stacked_LSTM
stacking_ERNN,8,Cocob,NN5,y,Stacked_ERNN
seq2seq_GRU,20,Adagrad,Tourism,y,S2S_GRU
seq2seq_LSTM,26,Adagrad,Tourism,y,S2S_LSTM
seq2seq_ERNN,16,Adagrad,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,7,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,27,Adagrad,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,15,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,11,Adagrad,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,3,Adagrad,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,30,Adagrad,Tourism,y,S2SD_ERNN
stacking_GRU,31,Adagrad,Tourism,y,Stacked_GRU
stacking_LSTM,21,Adagrad,Tourism,y,Stacked_LSTM
stacking_ERNN,29,Adagrad,Tourism,y,Stacked_ERNN
seq2seq_GRU,22,Adam,Tourism,y,S2S_GRU
seq2seq_LSTM,17,Adam,Tourism,y,S2S_LSTM
seq2seq_ERNN,23,Adam,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,2,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,18,Adam,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,10,Adam,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Adam,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,6,Adam,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,9,Adam,Tourism,y,S2SD_ERNN
stacking_GRU,34,Adam,Tourism,y,Stacked_GRU
stacking_LSTM,36,Adam,Tourism,y,Stacked_LSTM
stacking_ERNN,35,Adam,Tourism,y,Stacked_ERNN
seq2seq_GRU,14,Cocob,Tourism,y,S2S_GRU
seq2seq_LSTM,19,Cocob,Tourism,y,S2S_LSTM
seq2seq_ERNN,24,Cocob,Tourism,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,4,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,25,Cocob,Tourism,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,8,Cocob,Tourism,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,12,Cocob,Tourism,y,S2SD_LSTM
